-0.05	3.0342	-0.1597
-0.04	3.0661	-0.1278
-0.03	3.0981	-0.0958
-0.02	3.13	-0.0639
-0.01	3.1613	-0.0326
0	3.1939	0
0.01	3.2258	0.0319
0.02	3.2578	0.0639
0.03	3.2897	0.0958
0.04	3.3226	0.1287
0.05	3.3536	0.1597
