  # energy grid [eV]     epsr     epsi
       3.005708      -0.417185       0.108457
       3.022401      -0.386902       0.063631
       3.039093      -0.353536       0.038171
       3.055786      -0.325117       0.028100
       3.072479      -0.305828       0.027660
       3.089172      -0.296904       0.031157
       3.105865      -0.297122       0.033604
       3.122558      -0.303515       0.032189
       3.139250      -0.313985       0.026197
       3.155943      -0.327504       0.014071
       3.172636      -0.340800      -0.006686
       3.189329      -0.347903      -0.035390
       3.206022      -0.344874      -0.066324
       3.222715      -0.333628      -0.092880
       3.239407      -0.319958      -0.112835
       3.256100      -0.308110      -0.129508
       3.272793      -0.296592      -0.147636
       3.289486      -0.279836      -0.167047
       3.306179      -0.255250      -0.181126
       3.322871      -0.228094      -0.182719
       3.339564      -0.208819      -0.171448
       3.356257      -0.205587      -0.155750
       3.372950      -0.217911      -0.148303
       3.389643      -0.236020      -0.158036
       3.406336      -0.246566      -0.184379
       3.423028      -0.240670      -0.217752
       3.439721      -0.218760      -0.245927
       3.456414      -0.188586      -0.261391
       3.473107      -0.159240      -0.263583
       3.489800      -0.137261      -0.256876
       3.506492      -0.124779      -0.248085
       3.523185      -0.118978      -0.242885
       3.539878      -0.114910      -0.242731
       3.556571      -0.109352      -0.245670
       3.573264      -0.101529      -0.249157
       3.589957      -0.092243      -0.250814
       3.606649      -0.084685      -0.249330
       3.623342      -0.082688      -0.247746
       3.640035      -0.085137      -0.252091
       3.656728      -0.085981      -0.264676
       3.673421      -0.080363      -0.282514
       3.690114      -0.067065      -0.301586
       3.706806      -0.046422      -0.318873
       3.723499      -0.019656      -0.331837
       3.740192       0.011405      -0.339301
       3.756885       0.046480      -0.340613
       3.773578       0.085340      -0.332122
       3.790270       0.122238      -0.309019
       3.806963       0.146838      -0.273270
       3.823656       0.153375      -0.235296
       3.840349       0.145718      -0.206173
       3.857042       0.133544      -0.190261
       3.873735       0.125196      -0.184166
       3.890427       0.123086      -0.181182
       3.907120       0.124490      -0.176952
       3.923813       0.126151      -0.171520
       3.940506       0.127555      -0.166739
       3.957199       0.130315      -0.163025
       3.973891       0.135532      -0.158364
       3.990584       0.141419      -0.150076
       4.007277       0.143786      -0.138385
       4.023970       0.140270      -0.127678
       4.040663       0.133456      -0.122670
       4.057356       0.128643      -0.124045
       4.074048       0.129550      -0.128313
       4.090741       0.135912      -0.130662
       4.107434       0.144104      -0.128585
       4.124127       0.150594      -0.123345
       4.140820       0.154539      -0.117780
       4.157513       0.157164      -0.113688
       4.174205       0.159776      -0.111401
       4.190898       0.163106      -0.111211
       4.207591       0.168767      -0.113842
       4.224284       0.179851      -0.118542
       4.240977       0.198851      -0.121576
       4.257669       0.224829      -0.117599
       4.274362       0.253333      -0.103301
       4.291055       0.279653      -0.078820
       4.307748       0.300562      -0.045800
       4.324441       0.313635      -0.006461
       4.341134       0.317572       0.036158
