  # energy grid [eV]     epsr     epsi
       2.938937      -0.252096      -0.044216
       2.955629      -0.324381      -0.055902
       2.972322      -0.396629      -0.081255
       2.989015      -0.471990      -0.121215
       3.005708      -0.551197      -0.183688
       3.022401      -0.625794      -0.279934
       3.039093      -0.675548      -0.414858
       3.055786      -0.676192      -0.576839
       3.072479      -0.614078      -0.737446
       3.089172      -0.497258      -0.863287
       3.105865      -0.353460      -0.934256
       3.122558      -0.212810      -0.952808
       3.139250      -0.092703      -0.934472
       3.155943       0.001535      -0.894905
       3.172636       0.070323      -0.845940
       3.189329       0.116138      -0.796851
       3.206022       0.144364      -0.756167
       3.222715       0.165089      -0.728449
       3.239407       0.188666      -0.709945
       3.256100       0.218333      -0.690772
       3.272793       0.247306      -0.663349
       3.289486       0.265231      -0.630778
       3.306179       0.270175      -0.604866
       3.322871       0.272137      -0.593472
       3.339564       0.282611      -0.592269
       3.356257       0.303930      -0.591010
       3.372950       0.330970      -0.583390
       3.389643       0.357074      -0.568746
       3.406336       0.376938      -0.552000
       3.423028       0.392462      -0.542243
       3.439721       0.415168      -0.542873
       3.456414       0.455720      -0.544263
       3.473107       0.512779      -0.530886
       3.489800       0.573756      -0.493030
       3.506492       0.623218      -0.432830
       3.523185       0.653018      -0.361614
       3.539878       0.665237      -0.289820
       3.556571       0.665110      -0.220684
       3.573264       0.653926      -0.153896
       3.589957       0.630508      -0.092070
       3.606649       0.596957      -0.040327
       3.623342       0.559157      -0.001156
       3.640035       0.522793       0.027245
       3.656728       0.491016       0.049122
       3.673421       0.463768       0.069546
       3.690114       0.437172       0.092061
       3.706806       0.405932       0.115281
       3.723499       0.368716       0.133982
       3.740192       0.328674       0.144792
       3.756885       0.288837       0.147512
       3.773578       0.251306       0.141898
       3.790270       0.219938       0.128165
       3.806963       0.198820       0.110396
       3.823656       0.187610       0.095182
       3.840349       0.181535       0.086408
       3.857042       0.175717       0.083629
       3.873735       0.167627       0.084413
       3.890427       0.156685       0.086452
       3.907120       0.143233       0.088126
       3.923813       0.128096       0.088573
       3.940506       0.111784       0.088022
       3.957199       0.093149       0.086561
       3.973891       0.070826       0.081643
       3.990584       0.046920       0.069330
       4.007277       0.026620       0.048761
       4.023970       0.013892       0.023066
       4.040663       0.009568      -0.003726
       4.057356       0.012853      -0.028682
       4.074048       0.022588      -0.049384
       4.090741       0.036472      -0.063394
       4.107434       0.050423      -0.069857
       4.124127       0.060648      -0.071083
       4.140820       0.066170      -0.071042
       4.157513       0.068658      -0.072764
       4.174205       0.070858      -0.077373
       4.190898       0.075522      -0.084143
       4.207591       0.084471      -0.090558
       4.224284       0.097212      -0.093040
       4.240977       0.110374      -0.089264
       4.257669       0.119853      -0.080300
       4.274362       0.123852      -0.069612
       4.291055       0.123268      -0.060283
       4.307748       0.120076      -0.053821
       4.324441       0.116266      -0.050576
       4.341134       0.113816      -0.050017
       4.357826       0.114272      -0.050258
       4.374519       0.117251      -0.048468
       4.391212       0.120105      -0.043165
       4.407905       0.120239      -0.035525
       4.424598       0.116979      -0.027847
       4.441290       0.111127      -0.021866
       4.457983       0.104057      -0.018435
       4.474676       0.097346      -0.017541
       4.491369       0.092304      -0.018117
       4.508062       0.089061      -0.018316
       4.524755       0.086107      -0.016856
       4.541447       0.081519      -0.014300
       4.558140       0.074658      -0.012443
       4.574833       0.066343      -0.012849
       4.591526       0.058139      -0.016140
       4.608219       0.051696      -0.021873
       4.624912       0.048167      -0.028572
       4.641604       0.047436      -0.034105
       4.658297       0.047682      -0.036931
       4.674990       0.046482      -0.037482
       4.691683       0.042689      -0.037769
       4.708376       0.036907      -0.039742
       4.725068       0.030675      -0.044323
       4.741761       0.025671      -0.051279
       4.758454       0.023051      -0.059262
       4.775147       0.022546      -0.066329
       4.791840       0.022248      -0.071503
       4.808533       0.020211      -0.075905
       4.825225       0.016202      -0.081768
       4.841918       0.011671      -0.090719
       4.858611       0.008743      -0.103000
       4.875304       0.009182      -0.117437
       4.891997       0.013446      -0.132095
       4.908689       0.020669      -0.145725
       4.925382       0.030184      -0.158380
       4.942075       0.042523      -0.169990
       4.958768       0.058170      -0.179048
       4.975461       0.075815      -0.183565
       4.992154       0.092777      -0.183167
