  # energy grid [eV]     epsr     epsi
       2.938937      -0.252050      -0.044262
       2.955629      -0.324320      -0.055941
       2.972322      -0.396561      -0.081285
       2.989015      -0.471921      -0.121238
       3.005708      -0.551130      -0.183709
       3.022401      -0.625727      -0.279955
       3.039093      -0.675478      -0.414881
       3.055786      -0.676117      -0.576864
       3.072479      -0.613997      -0.737470
       3.089172      -0.497171      -0.863306
       3.105865      -0.353369      -0.934270
       3.122558      -0.212718      -0.952815
       3.139250      -0.092610      -0.934472
       3.155943       0.001628      -0.894900
       3.172636       0.070412      -0.845929
       3.189329       0.116223      -0.796835
       3.206022       0.144444      -0.756149
       3.222715       0.165165      -0.728430
       3.239407       0.188740      -0.709926
       3.256100       0.218405      -0.690752
       3.272793       0.247375      -0.663330
       3.289486       0.265297      -0.630759
       3.306179       0.270240      -0.604849
       3.322871       0.272200      -0.593457
       3.339564       0.282675      -0.592255
       3.356257       0.303995      -0.590997
       3.372950       0.331037      -0.583376
       3.389643       0.357141      -0.568731
       3.406336       0.377006      -0.551984
       3.423028       0.392531      -0.542226
       3.439721       0.415238      -0.542855
       3.456414       0.455790      -0.544243
       3.473107       0.512849      -0.530863
       3.489800       0.573825      -0.493005
       3.506492       0.623286      -0.432803
       3.523185       0.653084      -0.361587
       3.539878       0.665303      -0.289792
       3.556571       0.665177      -0.220655
       3.573264       0.653993      -0.153865
       3.589957       0.630576      -0.092037
       3.606649       0.597024      -0.040291
       3.623342       0.559223      -0.001117
       3.640035       0.522858       0.027288
       3.656728       0.491079       0.049167
       3.673421       0.463830       0.069593
       3.690114       0.437232       0.092109
       3.706806       0.405991       0.115332
       3.723499       0.368773       0.134036
       3.740192       0.328729       0.144849
       3.756885       0.288890       0.147573
       3.773578       0.251357       0.141961
       3.790270       0.219986       0.128233
       3.806963       0.198865       0.110470
       3.823656       0.187649       0.095263
       3.840349       0.181565       0.086494
       3.857042       0.175734       0.083718
       3.873735       0.167632       0.084501
       3.890427       0.156677       0.086537
       3.907120       0.143213       0.088205
       3.923813       0.128065       0.088643
       3.940506       0.111745       0.088081
       3.957199       0.093102       0.086605
       3.973891       0.070777       0.081670
       3.990584       0.046874       0.069340
       4.007277       0.026584       0.048757
       4.023970       0.013869       0.023055
       4.040663       0.009555      -0.003741
       4.057356       0.012851      -0.028697
       4.074048       0.022592      -0.049398
       4.090741       0.036482      -0.063405
       4.107434       0.050438      -0.069865
       4.124127       0.060665      -0.071089
       4.140820       0.066190      -0.071046
       4.157513       0.068681      -0.072765
       4.174205       0.070883      -0.077372
       4.190898       0.075548      -0.084140
       4.207591       0.084499      -0.090551
       4.224284       0.097239      -0.093030
       4.240977       0.110401      -0.089251
       4.257669       0.119880      -0.080285
       4.274362       0.123878      -0.069594
       4.291055       0.123292      -0.060264
       4.307748       0.120098      -0.053799
       4.324441       0.116286      -0.050551
       4.341134       0.113832      -0.049991
       4.357826       0.114285      -0.050232
       4.374519       0.117259      -0.048442
       4.391212       0.120110      -0.043140
       4.407905       0.120240      -0.035502
       4.424598       0.116976      -0.027827
       4.441290       0.111120      -0.021850
       4.457983       0.104048      -0.018424
       4.474676       0.097336      -0.017536
       4.491369       0.092294      -0.018120
       4.508062       0.089054      -0.018325
       4.524755       0.086104      -0.016872
       4.541447       0.081523      -0.014321
       4.558140       0.074670      -0.012467
       4.574833       0.066364      -0.012873
       4.591526       0.058168      -0.016162
       4.608219       0.051733      -0.021891
       4.624912       0.048211      -0.028583
       4.641604       0.047483      -0.034107
       4.658297       0.047729      -0.036925
       4.674990       0.046525      -0.037469
       4.691683       0.042728      -0.037752
       4.708376       0.036942      -0.039722
       4.725068       0.030706      -0.044303
       4.741761       0.025700      -0.051258
       4.758454       0.023078      -0.059240
       4.775147       0.022571      -0.066307
       4.791840       0.022272      -0.071480
       4.808533       0.020233      -0.075882
       4.825225       0.016223      -0.081745
       4.841918       0.011691      -0.090696
       4.858611       0.008761      -0.102978
       4.875304       0.009199      -0.117414
       4.891997       0.013463      -0.132072
       4.908689       0.020684      -0.145702
       4.925382       0.030197      -0.158357
       4.942075       0.042536      -0.169968
       4.958768       0.058181      -0.179026
       4.975461       0.075825      -0.183543
       4.992154       0.092786      -0.183146
       5.008846       0.107120      -0.179430
       5.025539       0.118610      -0.174253
       5.042232       0.127678      -0.168619
       5.058925       0.134685      -0.163293
       5.075618       0.140401      -0.158856
       5.092311       0.145560      -0.155158
       5.109003       0.150235      -0.152000
       5.125696       0.154618      -0.149694
       5.142389       0.159437      -0.148213
       5.159082       0.165022      -0.146897
       5.175775       0.171127      -0.145394
       5.192467       0.177780      -0.143666
       5.209160       0.185022      -0.141283
       5.225853       0.192314      -0.137988
       5.242546       0.199367      -0.134229
       5.259239       0.206630      -0.130152
       5.275932       0.214230      -0.125164
       5.292624       0.221574      -0.118934
       5.309317       0.228187      -0.111712
       5.326010       0.233899      -0.103783
       5.342703       0.238644      -0.095448
       5.359396       0.242641      -0.086890
       5.376088       0.246006      -0.077801
       5.392781       0.248231      -0.067833
       5.409474       0.248400      -0.057156
       5.426167       0.245534      -0.046756
       5.442860       0.239463      -0.038616
       5.459553       0.231701      -0.034600
       5.476245       0.224607      -0.035063
       5.492938       0.219992      -0.039091
       5.509631       0.218903      -0.045404
       5.526324       0.221949      -0.052569
       5.543017       0.229159      -0.058880
       5.559710       0.239605      -0.062816
       5.576402       0.251796      -0.063824
       5.593095       0.264707      -0.062345
       5.609788       0.278262      -0.058825
