  # energy grid [eV]     epsr     epsi
       3.206022      -0.129153      -0.069902
       3.222715      -0.123577      -0.065063
       3.239407      -0.122285      -0.058178
       3.256100      -0.125226      -0.054705
       3.272793      -0.126188      -0.057103
       3.289486      -0.119531      -0.059663
       3.306179      -0.108358      -0.053666
       3.322871      -0.102632      -0.037502
       3.339564      -0.108970      -0.018938
       3.356257      -0.124844      -0.006933
       3.372950      -0.143281      -0.004402
       3.389643      -0.158885      -0.009422
       3.406336      -0.168557      -0.018011
       3.423028      -0.172438      -0.024438
       3.439721      -0.175862      -0.024702
       3.456414      -0.185617      -0.021013
       3.473107      -0.204333      -0.020111
       3.489800      -0.228950      -0.028738
       3.506492      -0.252502      -0.049512
       3.523185      -0.268795      -0.079804
       3.539878      -0.275183      -0.114956
       3.556571      -0.271429      -0.150999
       3.573264      -0.257957      -0.184646
       3.589957      -0.236084      -0.212017
       3.606649      -0.210185      -0.229532
       3.623342      -0.186972      -0.237869
       3.640035      -0.170292      -0.242651
       3.656728      -0.158564      -0.249773
       3.673421      -0.147223      -0.261834
       3.690114      -0.131562      -0.277923
       3.706806      -0.108573      -0.294257
       3.723499      -0.078835      -0.306051
       3.740192      -0.045646      -0.311110
       3.756885      -0.010813      -0.309913
       3.773578       0.025730      -0.301225
       3.790270       0.061032      -0.281748
       3.806963       0.088364      -0.251816
       3.823656       0.103142      -0.217295
       3.840349       0.106092      -0.184822
       3.857042       0.100787      -0.158216
       3.873735       0.090884      -0.138748
       3.890427       0.079346      -0.126419
       3.907120       0.068645      -0.120641
       3.923813       0.061053      -0.120256
       3.940506       0.058522      -0.123198
       3.957199       0.061985      -0.126379
       3.973891       0.070541      -0.126311
       3.990584       0.081138      -0.120469
       4.007277       0.089628      -0.108948
       4.023970       0.093227      -0.094580
       4.040663       0.091945      -0.080807
       4.057356       0.087697      -0.069600
       4.074048       0.082488      -0.061016
       4.090741       0.077217      -0.054173
       4.107434       0.071805      -0.048511
       4.124127       0.066160      -0.044176
       4.140820       0.060742      -0.041384
       4.157513       0.056179      -0.039818
       4.174205       0.052640      -0.038789
       4.190898       0.049774      -0.037855
       4.207591       0.047244      -0.037109
       4.224284       0.045181      -0.036788
       4.240977       0.043989      -0.036730
       4.257669       0.043806      -0.036362
       4.274362       0.044285      -0.035118
       4.291055       0.044809      -0.032764
       4.307748       0.044730      -0.029419
       4.324441       0.043514      -0.025561
       4.341134       0.041027      -0.021963
       4.357826       0.037706      -0.019259
       4.374519       0.034186      -0.017563
       4.391212       0.030868      -0.016616
       4.407905       0.027841      -0.016117
       4.424598       0.025039      -0.015898
       4.441290       0.022401      -0.015909
       4.457983       0.019901      -0.016097
       4.474676       0.017436      -0.016393
       4.491369       0.014800      -0.016871
       4.508062       0.011884      -0.017834
       4.524755       0.008848      -0.019670
       4.541447       0.006129      -0.022643
       4.558140       0.004310      -0.026744
       4.574833       0.003959      -0.031675
       4.591526       0.005551      -0.036871
       4.608219       0.009343      -0.041441
       4.624912       0.015049      -0.044220
       4.641604       0.021529      -0.044281
       4.658297       0.027185      -0.041710
       4.674990       0.031006      -0.037608
       4.691683       0.033001      -0.033151
       4.708376       0.033659      -0.028965
       4.725068       0.033418      -0.025228
