  # energy grid [eV]     epsr     epsi
       3.306179       0.310459       2.502268
       3.322871       0.322825       2.466938
       3.339564       0.325220       2.445727
       3.356257       0.317264       2.432596
       3.372950       0.298736       2.427312
       3.389643       0.263938       2.429327
       3.406336       0.205371       2.432202
       3.423028       0.118638       2.423091
       3.439721       0.007464       2.384650
       3.456414      -0.112637       2.301359
       3.473107      -0.216052       2.168357
       3.489800      -0.276179       1.998776
       3.506492      -0.280326       1.821096
       3.523185      -0.237051       1.663716
       3.539878      -0.167741       1.540342
       3.556571      -0.091549       1.448703
       3.573264      -0.017618       1.380479
       3.589957       0.050932       1.329951
       3.606649       0.111056       1.292993
       3.623342       0.160976       1.263763
       3.640035       0.202785       1.237133
       3.656728       0.239434       1.211861
       3.673421       0.271132       1.187719
       3.690114       0.298018       1.162030
       3.706806       0.323561       1.132212
       3.723499       0.352643       1.099637
       3.740192       0.387156       1.069339
       3.756885       0.424029       1.045926
       3.773578       0.457639       1.029768
       3.790270       0.483918       1.016897
       3.806963       0.502509       1.001475
       3.823656       0.517215       0.978242
       3.840349       0.535386       0.945715
       3.857042       0.563698       0.908622
       3.873735       0.603130       0.874992
       3.890427       0.649093       0.850506
       3.907120       0.695391       0.836097
       3.923813       0.737488       0.828953
       3.940506       0.774033       0.824803
       3.957199       0.806444       0.820389
       3.973891       0.836981       0.814518
       3.990584       0.867297       0.807199
       4.007277       0.898650       0.798606
       4.023970       0.932546       0.789211
       4.040663       0.970545       0.780690
       4.057356       1.012528       0.776043
       4.074048       1.055689       0.777091
       4.090741       1.097208       0.782210
       4.107434       1.137683       0.788410
       4.124127       1.180245       0.795442
       4.140820       1.226459       0.806421
       4.157513       1.274187       0.824362
       4.174205       1.319943       0.848847
       4.190898       1.362770       0.876976
       4.207591       1.404762       0.906841
       4.224284       1.449038       0.939138
       4.240977       1.497978       0.977287
       4.257669       1.551244       1.026725
       4.274362       1.604664       1.092409
       4.291055       1.651633       1.176183
       4.307748       1.686185       1.276305
       4.324441       1.705095       1.390130
       4.341134       1.705480       1.517589
       4.357826       1.679350       1.658864
       4.374519       1.614698       1.806098
       4.391212       1.506049       1.940709
       4.407905       1.362681       2.043317
       4.424598       1.203115       2.106183
       4.441290       1.042627       2.134205
       4.457983       0.886799       2.136701
       4.474676       0.733514       2.118728
       4.491369       0.580555       2.077645
       4.508062       0.432152       2.007328
       4.524755       0.299499       1.905132
       4.541447       0.195932       1.777280
       4.558140       0.128440       1.638113
       4.574833       0.094109       1.501896
       4.591526       0.084891       1.377003
       4.608219       0.092493       1.266509
       4.624912       0.110089       1.170062
       4.641604       0.133216       1.085281
       4.658297       0.159980       1.009589
       4.674990       0.189876       0.941613
       4.691683       0.222282       0.881008
       4.708376       0.256100       0.827506
       4.725068       0.290112       0.780517
       4.741761       0.323201       0.739089
       4.758454       0.354589       0.701830
       4.775147       0.384300       0.667115
       4.791840       0.413283       0.633872
       4.808533       0.442576       0.602172
       4.825225       0.472396       0.572713
       4.841918       0.502151       0.545916
       4.858611       0.530982       0.521538
       4.875304       0.558291       0.498665
       4.891997       0.584232       0.476059
       4.908689       0.609765       0.452905
       4.925382       0.635939       0.429241
       4.942075       0.663313       0.405476
       4.958768       0.692211       0.381880
       4.975461       0.723114       0.358778
       4.992154       0.756419       0.336946
       5.008846       0.791901       0.317398
       5.025539       0.828739       0.300708
       5.042232       0.866192       0.286817
       5.058925       0.903854       0.275553
       5.075618       0.941325       0.266741
       5.092311       0.978329       0.259970
       5.109003       1.014960       0.254895
       5.125696       1.051288       0.251491
       5.142389       1.087149       0.249646
       5.159082       1.122575       0.249012
       5.175775       1.157864       0.249465
       5.192467       1.193144       0.251093
       5.209160       1.228485       0.253821
       5.225853       1.264214       0.257668
       5.242546       1.300524       0.263015
       5.259239       1.337213       0.270145
       5.275932       1.374154       0.278979
       5.292624       1.411538       0.289468
       5.309317       1.449648       0.301773
       5.326010       1.488845       0.316237
       5.342703       1.529457       0.333626
       5.359396       1.571346       0.355043
       5.376088       1.613884       0.381513
       5.392781       1.656126       0.414009
       5.409474       1.696432       0.453425
       5.426167       1.732282       0.499740
       5.442860       1.761219       0.551068
       5.459553       1.782755       0.603977
       5.476245       1.799334       0.655857
       5.492938       1.814532       0.707169
       5.509631       1.830452       0.761103
       5.526324       1.846671       0.821990
       5.543017       1.860123       0.894106
       5.559710       1.865056       0.980805
       5.576402       1.852555       1.083491
       5.593095       1.809875       1.198845
       5.609788       1.723027       1.313224
       5.626481       1.587574       1.399538
       5.643174       1.421991       1.428543
       5.659866       1.263227       1.391385
       5.676559       1.142268       1.306575
       5.693252       1.067926       1.202537
       5.709945       1.033042       1.099727
       5.726638       1.026635       1.008244
       5.743331       1.038485       0.931914
       5.760023       1.060217       0.870119
       5.776716       1.087006       0.819617
       5.793409       1.117449       0.777676
       5.810102       1.151159       0.743472
       5.826795       1.186952       0.717039
       5.843487       1.222988       0.697648
       5.860180       1.258178       0.683516
       5.876873       1.292772       0.672938
       5.893566       1.327843       0.665086
       5.910259       1.364526       0.660349
       5.926952       1.403029       0.659918
       5.943644       1.442582       0.664680
       5.960337       1.482159       0.674779
       5.977030       1.521193       0.689677
       5.993723       1.560256       0.709045
       6.010416       1.600284       0.734136
       6.027109       1.640847       0.767628
       6.043801       1.679334       0.812321
       6.060494       1.711003       0.869784
       6.077187       1.729540       0.939151
       6.093880       1.728091       1.015659
       6.110573       1.702461       1.089279
       6.127265       1.656145       1.147495
       6.143958       1.600566       1.182905
       6.160651       1.547846       1.197386
       6.177344       1.504342       1.197693
       6.194037       1.472177       1.189727
       6.210730       1.452070       1.179254
       6.227422       1.441211       1.171786
       6.244115       1.434926       1.168340
       6.260808       1.432278       1.167265
       6.277501       1.434662       1.170209
       6.294194       1.439849       1.181286
       6.310886       1.441993       1.201064
       6.327579       1.437580       1.225394
       6.344272       1.427807       1.250890
       6.360965       1.414002       1.278184
       6.377658       1.393768       1.308409
       6.394351       1.363275       1.338900
       6.411043       1.321794       1.363770
       6.427736       1.273271       1.378141
       6.444429       1.223265       1.381656
       6.461122       1.174500       1.377476
       6.477815       1.125145       1.368272
       6.494508       1.071014       1.351564
       6.511200       1.012562       1.318758
       6.527893       0.960033       1.262700
       6.544586       0.928058       1.186720
       6.561279       0.925058       1.103687
