
# Surface 0 of 1 surfaces

# Curve title: ""k_PtSe2_pdos_Se_p.dat" u 1:($2+0.0461):3"

# IsoCurve 0, 601 points
# x y z type
9.1000000e+01 -9.7689000e+00 0.0000000e+00 i
9.1000000e+01 -9.7189000e+00 0.0000000e+00 i
9.1000000e+01 -9.6689000e+00 0.0000000e+00 i
9.1000000e+01 -9.6189000e+00 0.0000000e+00 i
9.1000000e+01 -9.5689000e+00 0.0000000e+00 i
9.1000000e+01 -9.5189000e+00 0.0000000e+00 i
9.1000000e+01 -9.4689000e+00 0.0000000e+00 i
9.1000000e+01 -9.4189000e+00 0.0000000e+00 i
9.1000000e+01 -9.3689000e+00 0.0000000e+00 i
9.1000000e+01 -9.3189000e+00 0.0000000e+00 i
9.1000000e+01 -9.2689000e+00 0.0000000e+00 i
9.1000000e+01 -9.2189000e+00 0.0000000e+00 i
9.1000000e+01 -9.1689000e+00 0.0000000e+00 i
9.1000000e+01 -9.1189000e+00 0.0000000e+00 i
9.1000000e+01 -9.0689000e+00 0.0000000e+00 i
9.1000000e+01 -9.0189000e+00 0.0000000e+00 i
9.1000000e+01 -8.9689000e+00 0.0000000e+00 i
9.1000000e+01 -8.9189000e+00 0.0000000e+00 i
9.1000000e+01 -8.8689000e+00 0.0000000e+00 i
9.1000000e+01 -8.8189000e+00 0.0000000e+00 i
9.1000000e+01 -8.7689000e+00 0.0000000e+00 i
9.1000000e+01 -8.7189000e+00 0.0000000e+00 i
9.1000000e+01 -8.6689000e+00 0.0000000e+00 i
9.1000000e+01 -8.6189000e+00 0.0000000e+00 i
9.1000000e+01 -8.5689000e+00 0.0000000e+00 i
9.1000000e+01 -8.5189000e+00 0.0000000e+00 i
9.1000000e+01 -8.4689000e+00 0.0000000e+00 i
9.1000000e+01 -8.4189000e+00 0.0000000e+00 i
9.1000000e+01 -8.3689000e+00 0.0000000e+00 i
9.1000000e+01 -8.3189000e+00 0.0000000e+00 i
9.1000000e+01 -8.2689000e+00 0.0000000e+00 i
9.1000000e+01 -8.2189000e+00 0.0000000e+00 i
9.1000000e+01 -8.1689000e+00 0.0000000e+00 i
9.1000000e+01 -8.1189000e+00 0.0000000e+00 i
9.1000000e+01 -8.0689000e+00 0.0000000e+00 i
9.1000000e+01 -8.0189000e+00 0.0000000e+00 i
9.1000000e+01 -7.9689000e+00 0.0000000e+00 i
9.1000000e+01 -7.9189000e+00 0.0000000e+00 i
9.1000000e+01 -7.8689000e+00 0.0000000e+00 i
9.1000000e+01 -7.8189000e+00 0.0000000e+00 i
9.1000000e+01 -7.7689000e+00 0.0000000e+00 i
9.1000000e+01 -7.7189000e+00 0.0000000e+00 i
9.1000000e+01 -7.6689000e+00 0.0000000e+00 i
9.1000000e+01 -7.6189000e+00 0.0000000e+00 i
9.1000000e+01 -7.5689000e+00 0.0000000e+00 i
9.1000000e+01 -7.5189000e+00 0.0000000e+00 i
9.1000000e+01 -7.4689000e+00 0.0000000e+00 i
9.1000000e+01 -7.4189000e+00 0.0000000e+00 i
9.1000000e+01 -7.3689000e+00 0.0000000e+00 i
9.1000000e+01 -7.3189000e+00 0.0000000e+00 i
9.1000000e+01 -7.2689000e+00 0.0000000e+00 i
9.1000000e+01 -7.2189000e+00 0.0000000e+00 i
9.1000000e+01 -7.1689000e+00 0.0000000e+00 i
9.1000000e+01 -7.1189000e+00 0.0000000e+00 i
9.1000000e+01 -7.0689000e+00 0.0000000e+00 i
9.1000000e+01 -7.0189000e+00 0.0000000e+00 i
9.1000000e+01 -6.9689000e+00 0.0000000e+00 i
9.1000000e+01 -6.9189000e+00 0.0000000e+00 i
9.1000000e+01 -6.8689000e+00 0.0000000e+00 i
9.1000000e+01 -6.8189000e+00 0.0000000e+00 i
9.1000000e+01 -6.7689000e+00 0.0000000e+00 i
9.1000000e+01 -6.7189000e+00 0.0000000e+00 i
9.1000000e+01 -6.6689000e+00 0.0000000e+00 i
9.1000000e+01 -6.6189000e+00 0.0000000e+00 i
9.1000000e+01 -6.5689000e+00 0.0000000e+00 i
9.1000000e+01 -6.5189000e+00 0.0000000e+00 i
9.1000000e+01 -6.4689000e+00 0.0000000e+00 i
9.1000000e+01 -6.4189000e+00 0.0000000e+00 i
9.1000000e+01 -6.3689000e+00 0.0000000e+00 i
9.1000000e+01 -6.3189000e+00 1.3000000e-12 i
9.1000000e+01 -6.2689000e+00 2.2500000e-09 i
9.1000000e+01 -6.2189000e+00 1.3000000e-06 i
9.1000000e+01 -6.1689000e+00 2.4900000e-04 i
9.1000000e+01 -6.1189000e+00 1.5600000e-02 i
9.1000000e+01 -6.0689000e+00 3.1600000e-01 i
9.1000000e+01 -6.0189000e+00 1.9900000e+00 i
9.1000000e+01 -5.9689000e+00 3.5800000e+00 i
9.1000000e+01 -5.9189000e+00 1.1800000e+00 i
9.1000000e+01 -5.8689000e+00 -4.4300000e-01 i
9.1000000e+01 -5.8189000e+00 -1.5200000e-01 i
9.1000000e+01 -5.7689000e+00 -1.0000000e-02 i
9.1000000e+01 -5.7189000e+00 3.6000000e-03 i
9.1000000e+01 -5.6689000e+00 1.3000000e-01 i
9.1000000e+01 -5.6189000e+00 1.4100000e+00 i
9.1000000e+01 -5.5689000e+00 4.6000000e+00 i
9.1000000e+01 -5.5189000e+00 3.7500000e+00 i
9.1000000e+01 -5.4689000e+00 -1.3200000e-01 i
9.1000000e+01 -5.4189000e+00 -4.6400000e-01 i
9.1000000e+01 -5.3689000e+00 -5.9300000e-02 i
9.1000000e+01 -5.3189000e+00 -1.9700000e-03 i
9.1000000e+01 -5.2689000e+00 -1.9700000e-05 i
9.1000000e+01 -5.2189000e+00 -6.3200000e-08 i
9.1000000e+01 -5.1689000e+00 0.0000000e+00 i
9.1000000e+01 -5.1189000e+00 0.0000000e+00 i
9.1000000e+01 -5.0689000e+00 0.0000000e+00 i
9.1000000e+01 -5.0189000e+00 0.0000000e+00 i
9.1000000e+01 -4.9689000e+00 0.0000000e+00 i
9.1000000e+01 -4.9189000e+00 0.0000000e+00 i
9.1000000e+01 -4.8689000e+00 0.0000000e+00 i
9.1000000e+01 -4.8189000e+00 0.0000000e+00 i
9.1000000e+01 -4.7689000e+00 0.0000000e+00 i
9.1000000e+01 -4.7189000e+00 0.0000000e+00 i
9.1000000e+01 -4.6689000e+00 0.0000000e+00 i
9.1000000e+01 -4.6189000e+00 0.0000000e+00 i
9.1000000e+01 -4.5689000e+00 0.0000000e+00 i
9.1000000e+01 -4.5189000e+00 9.5000000e-13 i
9.1000000e+01 -4.4689000e+00 1.7200000e-09 i
9.1000000e+01 -4.4189000e+00 1.0300000e-06 i
9.1000000e+01 -4.3689000e+00 2.0700000e-04 i
9.1000000e+01 -4.3189000e+00 1.3600000e-02 i
9.1000000e+01 -4.2689000e+00 2.8700000e-01 i
9.1000000e+01 -4.2189000e+00 1.9000000e+00 i
9.1000000e+01 -4.1689000e+00 3.5800000e+00 i
9.1000000e+01 -4.1189000e+00 1.3000000e+00 i
9.1000000e+01 -4.0689000e+00 -4.3500000e-01 i
9.1000000e+01 -4.0189000e+00 -1.6400000e-01 i
9.1000000e+01 -3.9689000e+00 -1.1500000e-02 i
9.1000000e+01 -3.9189000e+00 -2.2700000e-04 i
9.1000000e+01 -3.8689000e+00 -1.4000000e-06 i
9.1000000e+01 -3.8189000e+00 -2.7900000e-09 i
9.1000000e+01 -3.7689000e+00 0.0000000e+00 i
9.1000000e+01 -3.7189000e+00 0.0000000e+00 i
9.1000000e+01 -3.6689000e+00 0.0000000e+00 i
9.1000000e+01 -3.6189000e+00 4.7200000e-15 i
9.1000000e+01 -3.5689000e+00 8.8000000e-12 i
9.1000000e+01 -3.5189000e+00 5.4800000e-09 i
9.1000000e+01 -3.4689000e+00 1.1300000e-06 i
9.1000000e+01 -3.4189000e+00 7.6500000e-05 i
9.1000000e+01 -3.3689000e+00 1.6700000e-03 i
9.1000000e+01 -3.3189000e+00 1.1400000e-02 i
9.1000000e+01 -3.2689000e+00 2.2500000e-02 i
9.1000000e+01 -3.2189000e+00 8.7300000e-03 i
9.1000000e+01 -3.1689000e+00 -2.5700000e-03 i
9.1000000e+01 -3.1189000e+00 8.0300000e-03 i
9.1000000e+01 -3.0689000e+00 2.3800000e-01 i
9.1000000e+01 -3.0189000e+00 1.9500000e+00 i
9.1000000e+01 -2.9689000e+00 4.6900000e+00 i
9.1000000e+01 -2.9189000e+00 2.5100000e+00 i
9.1000000e+01 -2.8689000e+00 -4.6800000e-01 i
9.1000000e+01 -2.8189000e+00 -3.0500000e-01 i
9.1000000e+01 -2.7689000e+00 -2.7300000e-02 i
9.1000000e+01 -2.7189000e+00 -6.7500000e-04 i
9.1000000e+01 -2.6689000e+00 -5.1400000e-06 i
9.1000000e+01 -2.6189000e+00 -1.2600000e-08 i
9.1000000e+01 -2.5689000e+00 0.0000000e+00 i
9.1000000e+01 -2.5189000e+00 0.0000000e+00 i
9.1000000e+01 -2.4689000e+00 0.0000000e+00 i
9.1000000e+01 -2.4189000e+00 0.0000000e+00 i
9.1000000e+01 -2.3689000e+00 0.0000000e+00 i
9.1000000e+01 -2.3189000e+00 0.0000000e+00 i
9.1000000e+01 -2.2689000e+00 0.0000000e+00 i
9.1000000e+01 -2.2189000e+00 0.0000000e+00 i
9.1000000e+01 -2.1689000e+00 0.0000000e+00 i
9.1000000e+01 -2.1189000e+00 2.3900000e-12 i
9.1000000e+01 -2.0689000e+00 3.9500000e-09 i
9.1000000e+01 -2.0189000e+00 2.1700000e-06 i
9.1000000e+01 -1.9689000e+00 3.9600000e-04 i
9.1000000e+01 -1.9189000e+00 2.3700000e-02 i
9.1000000e+01 -1.8689000e+00 4.5600000e-01 i
9.1000000e+01 -1.8189000e+00 2.7300000e+00 i
9.1000000e+01 -1.7689000e+00 4.6100000e+00 i
9.1000000e+01 -1.7189000e+00 1.3600000e+00 i
9.1000000e+01 -1.6689000e+00 -5.8100000e-01 i
9.1000000e+01 -1.6189000e+00 -1.8100000e-01 i
9.1000000e+01 -1.5689000e+00 -1.1300000e-02 i
9.1000000e+01 -1.5189000e+00 -2.0200000e-04 i
9.1000000e+01 -1.4689000e+00 -1.1400000e-06 i
9.1000000e+01 -1.4189000e+00 -2.0600000e-09 i
9.1000000e+01 -1.3689000e+00 0.0000000e+00 i
9.1000000e+01 -1.3189000e+00 0.0000000e+00 i
9.1000000e+01 -1.2689000e+00 0.0000000e+00 i
9.1000000e+01 -1.2189000e+00 0.0000000e+00 i
9.1000000e+01 -1.1689000e+00 0.0000000e+00 i
9.1000000e+01 -1.1189000e+00 0.0000000e+00 i
9.1000000e+01 -1.0689000e+00 0.0000000e+00 i
9.1000000e+01 -1.0189000e+00 0.0000000e+00 i
9.1000000e+01 -9.6890000e-01 0.0000000e+00 i
9.1000000e+01 -9.1890000e-01 0.0000000e+00 i
9.1000000e+01 -8.6890000e-01 0.0000000e+00 i
9.1000000e+01 -8.1890000e-01 0.0000000e+00 i
9.1000000e+01 -7.6890000e-01 0.0000000e+00 i
9.1000000e+01 -7.1890000e-01 0.0000000e+00 i
9.1000000e+01 -6.6890000e-01 0.0000000e+00 i
9.1000000e+01 -6.1890000e-01 0.0000000e+00 i
9.1000000e+01 -5.6890000e-01 0.0000000e+00 i
9.1000000e+01 -5.1890000e-01 0.0000000e+00 i
9.1000000e+01 -4.6890000e-01 0.0000000e+00 i
9.1000000e+01 -4.1890000e-01 0.0000000e+00 i
