nm				psi			delta
7.910000000000000000e+02 3.323868999999999829e+01 1.644475600000000099e+02
7.920000000000000000e+02 3.318498999999999910e+01 1.645759700000000123e+02
7.930000000000000000e+02 3.313127999999999673e+01 1.647081000000000017e+02
7.940000000000000000e+02 3.307737000000000194e+01 1.648451000000000022e+02
7.950000000000000000e+02 3.302118999999999716e+01 1.649821000000000026e+02
7.960000000000000000e+02 3.296500999999999948e+01 1.651191100000000063e+02
7.970000000000000000e+02 3.290883000000000180e+01 1.652561100000000067e+02
7.980000000000000000e+02 3.285264999999999702e+01 1.653931100000000072e+02
7.990000000000000000e+02 3.279646999999999935e+01 1.655301200000000108e+02
8.000000000000000000e+02 3.274029000000000167e+01 1.656671200000000113e+02
8.010000000000000000e+02 3.268410999999999689e+01 1.657993400000000008e+02
8.020000000000000000e+02 3.262792999999999921e+01 1.659308800000000019e+02
8.030000000000000000e+02 3.257175000000000153e+01 1.660624099999999999e+02
8.040000000000000000e+02 3.251556999999999675e+01 1.661939500000000010e+02
8.050000000000000000e+02 3.245533999999999963e+01 1.663254900000000021e+02
8.060000000000000000e+02 3.239397000000000304e+01 1.664570300000000032e+02
8.070000000000000000e+02 3.233259999999999934e+01 1.665885600000000011e+02
8.080000000000000000e+02 3.227121999999999957e+01 1.667200799999999958e+02
8.090000000000000000e+02 3.220985000000000298e+01 1.668514999999999873e+02
8.100000000000000000e+02 3.214847999999999928e+01 1.669829100000000039e+02
8.110000000000000000e+02 3.208711000000000269e+01 1.671143199999999922e+02
8.120000000000000000e+02 3.202573000000000292e+01 1.672457400000000121e+02
8.130000000000000000e+02 3.196435999999999922e+01 1.673771500000000003e+02
8.140000000000000000e+02 3.190298999999999907e+01 1.675085599999999886e+02
8.150000000000000000e+02 3.184320999999999913e+01 1.676399800000000084e+02
8.160000000000000000e+02 3.178961999999999932e+01 1.677711600000000089e+02
8.170000000000000000e+02 3.173603999999999914e+01 1.679016200000000083e+02
8.180000000000000000e+02 3.168244999999999933e+01 1.680320900000000108e+02
8.200000000000000000e+02 3.162886999999999915e+01 1.681625500000000102e+02
8.210000000000000000e+02 3.157527999999999935e+01 1.682930200000000127e+02
8.220000000000000000e+02 3.152169999999999916e+01 1.684234899999999868e+02
8.230000000000000000e+02 3.146810999999999936e+01 1.685539499999999862e+02
8.240000000000000000e+02 3.141452999999999918e+01 1.686844199999999887e+02
8.250000000000000000e+02 3.136093999999999937e+01 1.688148300000000006e+02
8.260000000000000000e+02 3.130735999999999919e+01 1.689449600000000089e+02
8.270000000000000000e+02 3.125062000000000140e+01 1.690750899999999888e+02
8.280000000000000000e+02 3.118795000000000073e+01 1.692052300000000002e+02
8.290000000000000000e+02 3.112527000000000044e+01 1.693353600000000085e+02
8.300000000000000000e+02 3.106259999999999977e+01 1.694654899999999884e+02
